"indicator_name" "num_avail"
"PPG, private creditors (NFL, current US$)" 46
"PPG, private creditors (NTR, current US$)" 46
"PPG, private creditors (TDS, current US$)" 46
"PPP conversion factor, GDP (LCU per international $)" 26
"PPP conversion factor, private consumption (LCU per international $)" 26
"Pregnant women receiving prenatal care (%)" 5
"Preprimary education, duration (years)" 46
"Presence of peace keepers (number of troops, police, and military observers in mandate)" 0
"Present value of external debt (% of exports of goods, services and primary income)" 1
"Present value of external debt (% of GNI)" 1
"Present value of external debt (current US$)" 1
"Prevalence of anemia among children (% of children under 5)" 22
"Prevalence of anemia among non-pregnant women (% of women ages 15-49)" 17
"Prevalence of anemia among pregnant women (%)" 17
"Prevalence of anemia among women of reproductive age (% of women ages 15-49)" 17
"Prevalence of HIV, female (% ages 15-24)" 26
"Prevalence of HIV, male (% ages 15-24)" 26
"Prevalence of HIV, total (% of population ages 15-49)" 26
"Prevalence of overweight, weight for height (% of children under 5)" 6
"Prevalence of overweight, weight for height, female (% of children under 5)" 5
"Prevalence of overweight, weight for height, male (% of children under 5)" 5
"Prevalence of severe wasting, weight for height (% of children under 5)" 5
"Prevalence of severe wasting, weight for height, female (% of children under 5)" 5
"Prevalence of severe wasting, weight for height, male (% of children under 5)" 5
"Prevalence of stunting, height for age (% of children under 5)" 7
"Prevalence of stunting, height for age, female (% of children under 5)" 5
"Prevalence of stunting, height for age, male (% of children under 5)" 5
"Prevalence of undernourishment (% of population)" 25
"Prevalence of underweight, weight for age (% of children under 5)" 7
"Prevalence of underweight, weight for age, female (% of children under 5)" 5
"Prevalence of underweight, weight for age, male (% of children under 5)" 5
"Prevalence of wasting, weight for height (% of children under 5)" 7
"Prevalence of wasting, weight for height, female (% of children under 5)" 5
"Prevalence of wasting, weight for height, male (% of children under 5)" 5
"Price level ratio of PPP conversion factor (GDP) to market exchange rate" 26
"Primary completion rate, female (% of relevant age group)" 35
"Primary completion rate, male (% of relevant age group)" 35
"Primary completion rate, total (% of relevant age group)" 40
"Primary education, pupils (% female)" 44
"Primary education, teachers (% female)" 38
"Primary income on FDI, payments (current US$)" 46
"Primary income payments (BoP, current US$)" 40
"Primary income receipts (BoP, current US$)" 40
"Principal arrears, long-term DOD (US$)" 46
"Principal arrears, official creditors (current US$)" 46
"Principal arrears, private creditors (current US$)" 42
"Principal forgiven (current US$)" 20
"Principal repayments on external debt, long-term (AMT, current US$)" 47
"Principal repayments on external debt, long-term + IMF (AMT, current US$)" 46
"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)" 40
"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)" 46
"Principal rescheduled (current US$)" 1
"Principal rescheduled, official (current US$)" 1
"Principal rescheduled, private (current US$)" 0
"Private credit bureau coverage (% of adults)" 13
"Procedures to build a warehouse (number)" 12
"Procedures to register property (number)" 13
"Profit tax (% of commercial profits)" 4
"Progression to secondary school, female (%)" 33
"Progression to secondary school, male (%)" 33
"Proportion of seats held by women in national parliaments (%)" 21
"Proportion of women subjected to physical and/or sexual violence in the last 12 months ( % of women age 15-49)" 0
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)" 40
"Public and publicly guaranteed debt service (% of GNI)" 46
"Public credit registry coverage (% of adults)" 13
"Pump price for diesel fuel (US$ per liter)" 12
"Pump price for gasoline (US$ per liter)" 12
"Pupil-teacher ratio in pre-primary education (headcount basis)" 9
"Pupil-teacher ratio in primary education (headcount basis)" 42
"Pupil-teacher ratio in secondary education (headcount basis)" 37
"Pupil-teacher ratio, lower secondary" 8
"Pupil-teacher ratio, tertiary" 43
"Pupil-teacher ratio, upper secondary" 7
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)" 9
"Rail lines (total route-km)" 34
"Railways, goods transported (million ton-km)" 35
"Railways, passengers carried (million passenger-km)" 35
"Ratio of female to male labor force participation rate (%) (modeled ILO estimate)" 25
"Ratio of female to male labor force participation rate (%) (national estimate)" 15
"Real effective exchange rate index (2010 = 100)" 41
"Real interest rate (%)" 12
"Refugee population by country or territory of asylum" 26
"Refugee population by country or territory of origin" 26
"Renewable electricity output (% of total electricity output)" 23
"Renewable energy consumption (% of total final energy consumption)" 23
"Renewable internal freshwater resources per capita (cubic meters)" 12
"Renewable internal freshwater resources, total (billion cubic meters)" 12
"Research and development expenditure (% of GDP)" 13
"Researchers in R&D (per million people)" 8
"Reserves and related items (BoP, current US$)" 40
"Residual, debt stock-flow reconciliation (current US$)" 27
"Revenue, excluding grants (% of GDP)" 41
"Revenue, excluding grants (current LCU)" 41
"Risk of catastrophic expenditure for surgical care (% of people at risk)" 1
"Risk of impoverishing expenditure for surgical care (% of people at risk)" 1
"Risk premium on lending (lending rate minus treasury bill rate, %)" 0
"Rural land area (sq. km)" 3
"Rural land area where elevation is below 5 meters (% of total land area)" 3
"Rural land area where elevation is below 5 meters (sq. km)" 3
"Rural population" 56
"Rural population (% of total population)" 56
"Rural population growth (annual %)" 56
"Rural population living in areas where elevation is below 5 meters (% of total population)" 3
"Rural poverty gap at national poverty lines (%)" 0
"Rural poverty headcount ratio at national poverty lines (% of rural population)" 0
"S&P Global Equity Indices (annual % change)" 19
"School enrollment, primary (gross), gender parity index (GPI)" 44
"School enrollment, primary and secondary (gross), gender parity index (GPI)" 38
"School enrollment, primary, female (% gross)" 44
"School enrollment, primary, female (% net)" 24
"School enrollment, primary, male (% gross)" 44
"School enrollment, primary, male (% net)" 24
"School enrollment, secondary (gross), gender parity index (GPI)" 38
"School enrollment, secondary, female (% gross)" 38
"School enrollment, secondary, female (% net)" 6
"School enrollment, secondary, male (% gross)" 38
"School enrollment, secondary, male (% net)" 6
"School enrollment, tertiary (gross), gender parity index (GPI)" 44
"School enrollment, tertiary, female (% gross)" 44
"School enrollment, tertiary, male (% gross)" 44
"Scientific and technical journal articles" 28
"Secondary education, pupils (% female)" 38
"Secondary education, teachers (% female)" 27
"Secondary income receipts (BoP, current US$)" 40
"Secondary income, other sectors, payments (BoP, current US$)" 40
"Secure Internet servers" 14
"Secure Internet servers (per 1 million people)" 14
"Self-employed, female (% of female employment)" 8
"Self-employed, male (% of male employment)" 8
"Self-employed, total (% of total employment)" 15
"Service exports (BoP, current US$)" 40
"Service imports (BoP, current US$)" 39
"Services, etc., value added (% of GDP)" 51
"Services, etc., value added (annual % growth)" 50
"Services, etc., value added (constant 2010 US$)" 51
"Services, etc., value added (constant LCU)" 51
"Services, etc., value added (current LCU)" 51
"Services, etc., value added (current US$)" 51
"SF6 gas emissions (thousand metric tons of CO2 equivalent)" 5
"Share of tariff lines with international peaks, all products (%)" 17
"Share of tariff lines with international peaks, manufactured products (%)" 17
"Share of tariff lines with international peaks, primary products (%)" 17
"Share of tariff lines with specific rates, all products (%)" 17
"Share of tariff lines with specific rates, manufactured products (%)" 17
"Share of tariff lines with specific rates, primary products (%)" 17
"Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)" 8
"Share of youth not in education, employment, or training, female (% of female youth population)" 1
"Share of youth not in education, employment, or training, male (% of male youth population)" 1
"Share of youth not in education, employment, or training, total (% of youth population)" 1
"Short-term debt (% of exports of goods, services and primary income)" 40
"Short-term debt (% of total external debt)" 46
"Short-term debt (% of total reserves)" 45
"Smoking prevalence, females (% of adults)" 0
"Smoking prevalence, males (% of adults)" 0
"Social contributions (% of revenue)" 41
"Social contributions (current LCU)" 41
"Source data assessment of statistical capacity (scale 0 - 100)" 13
"Specialist surgical workforce (per 100,000 population)" 1
"Start-up procedures to register a business (number)" 14
"Start-up procedures to register a business, female (number)" 14
"Start-up procedures to register a business, male (number)" 14
"Stocks traded, total value (% of GDP)" 10
"Stocks traded, total value (current US$)" 10
"Stocks traded, turnover ratio of domestic shares (%)" 6
"Strength of legal rights index (0=weak to 12=strong)" 4
"Subsidies and other transfers (% of expense)" 19
"Subsidies and other transfers (current LCU)" 19
"Suicide mortality rate (per 100,000 population)" 1
"Surface area (sq. km)" 55
"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)" 0
"Survey mean consumption or income per capita, total population (2011 PPP $ per day)" 0
"Survival rate to Grade 5 of primary education, both sexes (%)" 31
"Survival rate to the last grade of primary education, both sexes (%)" 29
"Survival rate to the last grade of primary education, female (%)" 27
"Survival rate to the last grade of primary education, male (%)" 27
"Survival to age 65, female (% of cohort)" 55
"Survival to age 65, male (% of cohort)" 55
"Tariff rate, applied, simple mean, all products (%)" 17
"Tariff rate, applied, simple mean, manufactured products (%)" 17
"Tariff rate, applied, simple mean, primary products (%)" 17
"Tariff rate, applied, weighted mean, all products (%)" 17
"Tariff rate, applied, weighted mean, manufactured products (%)" 17
"Tariff rate, applied, weighted mean, primary products (%)" 17
"Tariff rate, most favored nation, simple mean, all products (%)" 17
"Tariff rate, most favored nation, simple mean, manufactured products (%)" 17
"Tariff rate, most favored nation, simple mean, primary products (%)" 17
"Tariff rate, most favored nation, weighted mean, all products (%)" 17
"Tariff rate, most favored nation, weighted mean, manufactured products (%)" 17
"Tariff rate, most favored nation, weighted mean, primary products (%)" 17
"Tax payments (number)" 12
"Tax revenue (% of GDP)" 41
"Tax revenue (current LCU)" 41
"Taxes on exports (% of tax revenue)" 40
"Taxes on exports (current LCU)" 40
"Taxes on goods and services (% of revenue)" 41
"Taxes on goods and services (% value added of industry and services)" 41
"Taxes on goods and services (current LCU)" 41
"Taxes on income, profits and capital gains (% of revenue)" 41
"Taxes on income, profits and capital gains (% of total taxes)" 41
"Taxes on income, profits and capital gains (current LCU)" 41
"Taxes on international trade (% of revenue)" 41
"Taxes on international trade (current LCU)" 41
"Teachers in primary education, both sexes (number)" 42
"Teachers in secondary education, both sexes (number)" 38
"Teachers in secondary education, female (number)" 28
"Technical cooperation grants (BoP, current US$)" 55
"Technicians in R&D (per million people)" 6
"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)" 1
"Terms of trade adjustment (constant LCU)" 49
"Terrestrial and marine protected areas (% of total territorial area)" 3
"Terrestrial protected areas (% of total land area)" 3
"Tertiary education, academic staff (% female)" 31
"Textiles and clothing (% of value added in manufacturing)" 41
"Theoretical duration of primary education (years)" 46
"Theoretical duration of secondary education (years)" 46
"Time required to build a warehouse (days)" 12
"Time required to enforce a contract (days)" 14
"Time required to get electricity (days)" 8
"Time required to obtain an operating license (days)" 1
"Time required to register property (days)" 13
"Time required to start a business (days)" 14
"Time required to start a business, female (days)" 14
"Time required to start a business, male (days)" 14
"Time spent dealing with the requirements of government regulations (% of senior management time)" 1
"Time to export (days)" 10
"Time to import (days)" 10
"Time to prepare and pay taxes (hours)" 12
"Time to resolve insolvency (years)" 3
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)" 1
"Total amount of debt rescheduled (current US$)" 1
"Total change in external debt stocks (current US$)" 27
"Total debt service (% of exports of goods, services and primary income)" 40
"Total debt service (% of GNI)" 46
"Total fisheries production (metric tons)" 55
"Total greenhouse gas emissions (% change from 1990)" 22
"Total greenhouse gas emissions (kt of CO2 equivalent)" 43
"Total natural resources rents (% of GDP)" 46
"Total reserves (% of total external debt)" 44
"Total reserves (includes gold, current US$)" 55
"Total reserves in months of imports" 39
"Total reserves minus gold (current US$)" 55
"Total tax rate (% of commercial profits)" 12
"Trade (% of GDP)" 51
"Trade in services (% of GDP)" 39
"Trademark applications, direct nonresident" 46
"Trademark applications, direct resident" 46
"Trademark applications, total" 46
"Trained teachers in lower secondary education (% of total teachers)" 0
"Trained teachers in lower secondary education, female (% of female teachers)" 0
"Trained teachers in lower secondary education, male (% of male teachers)" 0
"Trained teachers in preprimary education (% of total teachers)" 1
"Trained teachers in preprimary education, female (% of female teachers)" 0
"Trained teachers in preprimary education, male (% of male teachers)" 0
"Trained teachers in upper secondary education (% of total teachers)" 0
"Trained teachers in upper secondary education, female (% of female teachers)" 0
"Trained teachers in upper secondary education, male (% of male teachers)" 0
"Transport services (% of commercial service exports)" 40
"Transport services (% of commercial service imports)" 39
"Transport services (% of service exports, BoP)" 40
"Transport services (% of service imports, BoP)" 39
"Travel services (% of commercial service exports)" 40
"Travel services (% of commercial service imports)" 39
"Travel services (% of service exports, BoP)" 40
"Travel services (% of service imports, BoP)" 39
"Tuberculosis case detection rate (%, all forms)" 16
"Tuberculosis treatment success rate (% of new cases)" 15
"Undisbursed external debt, official creditors (UND, current US$)" 46
"Undisbursed external debt, private creditors (UND, current US$)" 46
"Undisbursed external debt, total (UND, current US$)" 46
"Unemployment with primary education (% of total unemployment)" 16
"Unemployment with primary education, female (% of female unemployment)" 10
"Unemployment with primary education, male (% of male unemployment)" 10
"Unemployment with secondary education (% of total unemployment)" 16
"Unemployment with secondary education, female (% of female unemployment)" 10
"Unemployment with secondary education, male (% of male unemployment)" 10
"Unemployment with tertiary education (% of total unemployment)" 16
"Unemployment with tertiary education, female (% of female unemployment)" 10
"Unemployment with tertiary education, male (% of male unemployment)" 10
"Unemployment, female (% of female labor force) (modeled ILO estimate)" 24
"Unemployment, female (% of female labor force) (national estimate)" 17
"Unemployment, male (% of male labor force) (modeled ILO estimate)" 24
"Unemployment, male (% of male labor force) (national estimate)" 17
"Unemployment, total (% of total labor force) (modeled ILO estimate)" 24
"Unemployment, total (% of total labor force) (national estimate)" 17
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)" 24
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)" 4
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)" 24
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)" 4
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)" 24
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)" 10
"Unmet need for contraception (% of married women ages 15-49)" 2
"Urban land area (sq. km)" 3
"Urban land area where elevation is below 5 meters (% of total land area)" 3
"Urban land area where elevation is below 5 meters (sq. km)" 3
"Urban population" 56
"Urban population (% of total)" 56
"Urban population growth (annual %)" 56
"Urban population living in areas where elevation is below 5 meters (% of total population)" 3
"Urban poverty gap at national poverty lines (%)" 0
"Urban poverty headcount ratio at national poverty lines (% of urban population)" 0
"Use of IMF credit (DOD, current US$)" 46
"Use of insecticide-treated bed nets (% of under-5 population)" 0
"Value lost due to electrical outages (% of sales)" 1
"Vitamin A supplementation coverage rate (% of children ages 6-59 months)" 0
"Vulnerable employment, female (% of female employment)" 7
"Vulnerable employment, male (% of male employment)" 7
"Vulnerable employment, total (% of total employment)" 8
"Wage and salaried workers, female (% of female employment)" 8
"Wage and salaried workers, male (% of male employment)" 8
"Wage and salaried workers, total (% of total employment)" 15
"Wanted fertility rate (births per woman)" 1
"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)" 8
"Wholesale price index (2010 = 100)" 54
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)" 0
"Women who believe a husband is justified in beating his wife (any of five reasons) (%)" 1
"Women who believe a husband is justified in beating his wife when she argues with him (%)" 0
"Women who believe a husband is justified in beating his wife when she burns the food (%)" 0
"Women who believe a husband is justified in beating his wife when she goes out without telling him (%)" 0
"Women who believe a husband is justified in beating his wife when she neglects the children (%)" 0
"Women who believe a husband is justified in beating his wife when she refuses sex with him (%)" 0
"Women who were first married by age 18 (% of women ages 20-24)" 2
"Women's share of population ages 15+ living with HIV (%)" 26
"Youth literacy rate, population 15-24 years, both sexes (%)" 9
